track_name,artist_name,id,url,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Victory,Two Steps from Hell,2F9xBxKbx2M0pbgtSu8fLf,https://api.spotify.com/v1/tracks/2F9xBxKbx2M0pbgtSu8fLf,0.00903,0.503,0.917,0.326,0.162,-6.111,0.0649,119.993,0.266
Heart of Courage,Thomas Bergersen,4JtvyWkWQTPVcroZf8JJkp,https://api.spotify.com/v1/tracks/4JtvyWkWQTPVcroZf8JJkp,0.511,0.403,0.591,0.896,0.108,-8.126,0.0514,135.047,0.192
Strength of a Thousand Men,Thomas Bergersen,3GJZLvGXaVszYdSBLMtJFX,https://api.spotify.com/v1/tracks/3GJZLvGXaVszYdSBLMtJFX,0.0962,0.478,0.906,0.919,0.115,-6.781,0.0419,140.021,0.59
Blackheart,Thomas Bergersen,2jn89xTHIVsy167uOmAewt,https://api.spotify.com/v1/tracks/2jn89xTHIVsy167uOmAewt,0.0945,0.136,0.462,0.936,0.119,-10.982,0.0367,161.073,0.112
Star Sky,Two Steps from Hell,06AMpcajziFnEKniV25fiU,https://api.spotify.com/v1/tracks/06AMpcajziFnEKniV25fiU,0.00997,0.443,0.822,0.107,0.0889,-5.656,0.0508,130.055,0.361
Protectors of the Earth,Thomas Bergersen,1YtHpYEbbfQQIyxXkdxEoW,https://api.spotify.com/v1/tracks/1YtHpYEbbfQQIyxXkdxEoW,0.0395,0.441,0.934,0.96,0.15,-6.766,0.0482,109.98,0.374
Impossible,Thomas Bergersen,29gW6N4TtGhpkYmYwhRvDL,https://api.spotify.com/v1/tracks/29gW6N4TtGhpkYmYwhRvDL,0.0608,0.166,0.786,0.947,0.0878,-7.261,0.0531,180.12,0.313
Archangel,Thomas Bergersen,3pTNVDJpzaLxiZnbC18SMX,https://api.spotify.com/v1/tracks/3pTNVDJpzaLxiZnbC18SMX,0.244,0.427,0.968,0.864,0.121,-4.517,0.0574,79.989,0.358
Never Back Down,Two Steps from Hell,4boaU9XaS1g6U1nV4lEsMl,https://api.spotify.com/v1/tracks/4boaU9XaS1g6U1nV4lEsMl,0.461,0.545,0.709,0.938,0.119,-6.825,0.0347,115.048,0.165
Invincible,Two Steps from Hell,0Z7VY2YzJdYThjXcMrH9Gh,https://api.spotify.com/v1/tracks/0Z7VY2YzJdYThjXcMrH9Gh,0.00128,0.412,0.778,0.732,0.0753,-7.776,0.033,89.997,0.307
Evergreen,Two Steps from Hell,5ac6fzdjXA8kPXkLSKARtz,https://api.spotify.com/v1/tracks/5ac6fzdjXA8kPXkLSKARtz,0.225,0.417,0.822,0.889,0.0593,-7.981,0.145,149.968,0.243
Dragon Rider,Thomas Bergersen,0G8iyOJFQ8Wvm4Fe6xjQdr,https://api.spotify.com/v1/tracks/0G8iyOJFQ8Wvm4Fe6xjQdr,0.000389,0.404,0.872,0.839,0.132,-8.72,0.0386,159.953,0.86
Flight Of The Silverbird,Two Steps from Hell,2k2Pwkt3Fqowcve91PiH4g,https://api.spotify.com/v1/tracks/2k2Pwkt3Fqowcve91PiH4g,0.00182,0.415,0.922,0.854,0.0888,-7.043,0.0819,138.086,0.226
Freedom Fighters,Thomas Bergersen,1gjUBLiGk3MdFksH3aRMax,https://api.spotify.com/v1/tracks/1gjUBLiGk3MdFksH3aRMax,0.00573,0.315,0.422,0.94,0.11,-12.209,0.0389,119.877,0.0386
Stallion,Two Steps from Hell,5Z0WctSOAlA7yyMl4rxQMf,https://api.spotify.com/v1/tracks/5Z0WctSOAlA7yyMl4rxQMf,0.118,0.259,0.688,0.794,0.141,-8.011,0.0418,88.917,0.335
